flt_no,flt_date,original_ab_price,original_bc_price,original_ac_price,original_ab_revenue,original_bc_revenue,original_ac_revenue,original_total_revenue,optimal_ab_price,optimal_bc_price,optimal_ac_price,predicted_ab_pax,predicted_bc_pax,predicted_ac_pax,allocated_ab_seats,allocated_bc_seats,allocated_ac_seats,expected_revenue,revenue_improvement,revenue_improvement_amount
yzmsRm0Bwwk=,2024-06-23,820.68,694.3333333333334,1012.6511627906976,102585.0,64573.0,43544.0,210702.0,1325,939,1393,109,102,3,165,165,5,244382,15.984660800561931,33680.0
kZFa4pVTJBM=,2024-06-22,489.5238095238095,576.3333333333334,806.875,20560.0,25935.0,25820.0,72315.0,1046,1015,1394,47,35,11,72,72,17,100021,38.3129364585494,27706.0
3KGHLOkH5EE=,2024-06-29,574.3207547169811,853.3962264150944,994.125,60878.0,90460.0,47718.0,199056.0,1274,1513,2025,94,95,32,123,123,41,328291,64.92394100152721,129235.0
/Eq9wx6EMyU=,2024-06-10,571.1612903225806,362.86290322580646,560.0,53118.0,44995.0,17920.0,116033.0,1476,896,1887,108,113,52,116,116,54,358780,209.20513991709254,242747.0
bCl4I3AtNhA=,2024-06-20,606.2678571428571,837.4406779661017,666.969696969697,67902.0,49409.0,22010.0,139321.0,1622,1433,1947,96,105,7,148,148,10,319806,129.5461559994545,180485.0
LGLefxzZ8v4=,2024-06-14,713.7894736842105,315.0,450.0887096774194,13562.0,2205.0,55811.0,71578.0,1297,1144,1411,42,48,64,68,68,90,199690,178.98236888429406,128112.0
EAbTHg60zZY=,2024-06-17,472.6333333333333,416.4017094017094,682.9545454545455,42537.0,48719.0,15025.0,106281.0,972,1298,1474,76,129,0,134,134,0,241314,127.05281282637537,135033.0
EB5Sx2MJDAg=,2024-06-20,1168.09900990099,543.3913043478261,1834.304347826087,117978.0,37494.0,42189.0,197661.0,2320,1537,2419,122,93,3,168,168,4,433238,119.18233743631774,235577.0
i1pc0xzZ2TA=,2024-06-26,910.75,532.3728813559322,1294.0,76503.0,31410.0,3882.0,111795.0,1298,828,1409,70,63,10,78,78,11,157114,40.53759112661568,45319.0
FNFR9qKCc8w=,2024-06-10,518.4827586206897,203.90625,473.1794871794872,75180.0,26100.0,18454.0,119734.0,1669,905,2101,175,142,0,189,189,0,420585,251.2661399435415,300851.0
2YmZgSa7x7s=,2024-06-01,383.1684210526316,522.9645390070922,694.6,36401.0,73738.0,3473.0,113612.0,845,934,1264,123,113,23,145,145,27,238549,109.96813716860896,124937.0
iL3fJ02gjcU=,2024-06-10,483.32089552238807,369.3435114503817,894.1428571428571,64765.0,48384.0,6259.0,119408.0,1321,900,1612,113,116,4,158,158,5,260121,117.84218812809861,140713.0
6Qy8VAqbyzg=,2024-06-22,608.3418803418804,660.64,1134.7727272727273,71176.0,82580.0,49930.0,203686.0,1686,1112,2514,117,114,37,137,137,43,417048,104.75044922085957,213362.0
PcooYCwHKGQ=,2024-06-06,347.12359550561797,832.4078947368421,855.1818181818181,30894.0,126526.0,9407.0,166827.0,651,1296,1477,76,142,2,164,164,2,236462,41.74084530681485,69635.0
hxp4q4QvRCM=,2024-06-25,500.10526315789474,315.0,632.025641025641,9502.0,3150.0,24649.0,37301.0,878,1063,1258,37,34,36,45,45,44,113916,205.39663815983485,76615.0
xfYYCZtCTOA=,2024-06-20,548.5454545454545,264.44444444444446,414.3220338983051,54306.0,7140.0,24445.0,85891.0,1143,655,1380,97,46,25,148,148,38,175501,104.32990650941309,89610.0
C2OyQ+WYnfc=,2024-06-09,352.0873786407767,1042.4444444444443,1078.357142857143,36265.0,103202.0,45291.0,184758.0,1013,2255,3335,99,92,28,139,139,39,401127,117.10940798233365,216369.0
5EvCA88tul0=,2024-06-30,791.7058823529412,802.8241758241758,699.484375,53836.0,73057.0,44767.0,171660.0,1716,1233,1742,73,85,30,130,130,46,282333,64.47221251310731,110673.0
itEcZvJKPt8=,2024-06-17,814.5454545454545,571.6306306306307,953.9375,80640.0,63451.0,45789.0,189880.0,1837,1104,1871,113,108,22,147,147,29,367975,93.79344849378555,178095.0
Fhmn0NtSFCs=,2024-06-20,1822.5416666666667,449.985401459854,1374.264705882353,174964.0,61648.0,46725.0,283337.0,2857,1203,2915,93,106,54,117,117,59,550629,94.33713210770213,267292.0
x9vyLxWI+WI=,2024-06-29,853.7096774193549,591.4285714285714,721.6346153846154,52930.0,41400.0,75050.0,169380.0,2003,858,2051,50,58,89,71,71,109,332453,96.27641988428385,163073.0
wPq1YpM7dNY=,2024-06-21,687.2957746478874,435.54615384615386,581.4444444444445,97596.0,56621.0,10466.0,164683.0,1314,1088,1895,120,129,37,129,129,37,368147,123.54887875494131,203464.0
Z+rarX9eGx4=,2024-06-15,505.97222222222223,217.35294117647055,649.2285714285714,36430.0,14780.0,22723.0,73933.0,1288,915,1297,81,81,21,88,88,23,205680,178.19782776297458,131747.0
TKwErHNI0Z4=,2024-06-17,424.7619047619048,690.687898089172,,62440.0,108438.0,0.0,170878.0,974,1386,2005,139,138,31,142,142,32,388809,127.5360198504196,217931.0
GMLKKuB75bo=,2024-06-27,652.9264705882352,549.968,1198.904761904762,88798.0,68746.0,25177.0,182721.0,1212,1482,1885,104,127,16,151,151,19,344422,88.49612250370784,161701.0
y64bcm3DjDk=,2024-06-15,318.2758620689655,556.1764705882352,780.5263157894736,27690.0,37820.0,44490.0,110000.0,1246,1482,1801,101,102,0,162,162,0,277010,151.8272727272727,167010.0
c4sVUD4LnFc=,2024-06-02,220.2063492063492,470.27,434.93617021276594,13873.0,47027.0,20442.0,81342.0,470,1124,1250,85,108,16,148,148,22,181342,122.93771975117404,100000.0
SYqdImkhK/M=,2024-06-05,205.1851851851852,264.10714285714283,246.72222222222223,5540.0,7395.0,4441.0,17376.0,592,744,817,39,43,24,57,57,32,74688,329.8342541436464,57312.0
kCv63I95Hw0=,2024-06-20,661.5217391304348,262.15686274509807,906.0,30430.0,13370.0,9060.0,52860.0,1123,684,1618,38,35,36,46,46,43,124862,136.2126371547484,72002.0
/aaDEhIbVZY=,2024-06-17,322.85714285714283,170.0,302.2340425531915,6780.0,1360.0,14205.0,22345.0,624,379,762,18,15,27,36,36,53,37491,67.78250167822779,15146.0
aXJGnEhKFjk=,2024-06-04,280.0,438.7264150943397,712.0,21840.0,46505.0,28480.0,96825.0,1091,1929,2671,91,100,31,125,125,39,374982,287.27807900852054,278157.0
WtPOTfgqns4=,2024-06-19,298.8207547169811,408.1551724137931,478.84375,31675.0,47346.0,15323.0,94344.0,897,1130,1219,117,126,31,138,138,34,285118,202.21105740693633,190774.0
Z9dniBZohC8=,2024-06-21,506.9306930693069,658.5545454545454,919.5102040816328,51200.0,72441.0,45056.0,168697.0,1309,1150,1663,109,103,38,122,122,42,324325,92.25297426747363,155628.0
uudlq7xGzkY=,2024-06-02,374.39716312056737,380.96062992125985,698.0645161290323,52790.0,48382.0,21640.0,122812.0,767,1035,1220,122,120,37,135,135,41,262914,114.0784288180308,140102.0
CMtyvx0wfns=,2024-06-10,444.3225806451613,451.73015873015873,610.2985074626865,27548.0,28459.0,40890.0,96897.0,1108,609,1821,51,57,71,77,77,97,220512,127.57360909006469,123615.0
lDbMeLnDkOk=,2024-06-30,561.9722222222222,1071.378947368421,968.156862745098,40462.0,101781.0,49376.0,191619.0,1080,1572,2015,73,47,40,102,102,56,233324,21.764543182043532,41705.0
T+NGIcqgCF4=,2024-06-24,408.5869565217391,1324.1975308641977,1245.483870967742,37590.0,107260.0,77220.0,222070.0,818,2036,2486,143,115,10,168,168,12,375974,69.3042734272977,153904.0
jYl9Hd9KNgM=,2024-06-18,513.9423076923077,450.8222222222222,443.75,26725.0,20287.0,35500.0,82512.0,1100,846,2005,52,52,68,58,58,76,237532,187.87570292805896,155020.0
g0Ohqo/Uk18=,2024-06-22,677.0891089108911,714.8545454545455,1838.2857142857144,68386.0,78634.0,25736.0,172756.0,1329,1591,1866,67,93,0,138,138,0,237006,37.19118294010049,64250.0
Bo81kgSCdRw=,2024-06-12,735.5932203389831,1302.014705882353,1380.9326923076924,43400.0,88537.0,143617.0,275554.0,1054,1760,2015,73,94,36,126,126,48,314922,14.28685484514832,39368.0
bBptvFOhelQ=,2024-06-16,593.0,591.0361445783133,634.030303030303,43882.0,49056.0,62769.0,155707.0,1567,1246,2317,60,56,64,89,89,95,312084,100.43029536244357,156377.0
0IBAp1mw8+o=,2024-06-04,746.4887218045113,365.42477876106193,762.2941176470588,99283.0,41293.0,25918.0,166494.0,1469,1047,1668,99,84,7,159,159,11,245055,47.185484161591404,78561.0
iwpcKwiz70A=,2024-06-12,385.05882352941177,681.3071895424837,955.0,58914.0,104240.0,26740.0,189894.0,1386,1992,2104,152,132,15,167,167,17,505176,166.03052229138362,315282.0
YYiSsATUt4g=,2024-06-03,239.56521739130432,313.8157894736842,533.75,27550.0,47700.0,12810.0,88060.0,787,1227,1313,139,138,18,159,159,21,302353,243.3488530547354,214293.0
+XCZCCetuXE=,2024-06-01,312.25,362.9756097560976,399.1428571428572,12490.0,14882.0,11176.0,38548.0,743,640,746,42,45,42,46,46,43,91338,136.94614506589187,52790.0
g9QYQ9CCT18=,2024-06-17,663.1111111111111,493.9130434782609,982.3931623931624,29840.0,22720.0,114940.0,167500.0,2011,1045,2449,72,58,76,90,90,96,391526,133.7468656716418,224026.0
3/HFy3qeyTc=,2024-06-25,524.9009900990098,1077.4384236453202,1580.0,106030.0,218720.0,4740.0,329490.0,1353,2078,2429,159,148,5,220,220,7,534816,62.31630701993991,205326.0
lYqMGSpPiic=,2024-06-15,214.86138613861385,433.4567901234568,455.2941176470589,21701.0,35110.0,15480.0,72291.0,694,955,1057,81,87,13,132,132,20,153040,111.69993498499122,80749.0
XkXqI5NBVeE=,2024-06-25,701.3793103448276,668.5702479338843,954.3157894736842,81360.0,80897.0,54396.0,216653.0,1575,1407,1635,97,97,30,137,137,43,338304,56.15015716375956,121651.0
CHBtY5fH3xY=,2024-06-01,345.32575757575756,493.03125,1118.1538461538462,45583.0,47331.0,14536.0,107450.0,907,1179,1428,83,103,19,140,140,26,223850,108.32945556072593,116400.0
jciVLvbMtzw=,2024-06-05,657.5,802.5490196078431,652.1978021978022,55230.0,40930.0,59350.0,155510.0,1072,1516,1605,96,92,42,125,125,55,309794,99.21162626197673,154284.0
s41THQLO3F0=,2024-06-02,475.4230769230769,330.3736263736264,561.875,37083.0,30064.0,22475.0,89622.0,1340,1102,1711,117,109,51,109,109,49,350017,290.5480797125706,260395.0
BnYIhQSAPf4=,2024-06-23,1140.4761904761904,470.7142857142857,1089.1666666666667,23950.0,32950.0,65350.0,122250.0,1835,1299,2143,48,74,36,106,106,52,261354,113.78650306748466,139104.0
egmvCGQc/+Y=,2024-06-30,447.4782608695652,405.30864197530866,857.3448275862069,20584.0,32830.0,24863.0,78277.0,911,709,1107,71,63,52,91,91,67,166912,113.23249485800426,88635.0
QG2DG350pQ0=,2024-06-09,325.9622641509434,445.3119266055046,560.9230769230769,34552.0,48539.0,7292.0,90383.0,1150,1043,1401,90,92,38,90,90,38,250608,177.27338105617207,160225.0
EKM1u6mcV+k=,2024-06-04,415.55555555555554,762.5675675675676,1258.75,59840.0,112860.0,20140.0,192840.0,1479,1941,2017,139,132,0,174,174,0,461793,139.46950840074672,268953.0
WlPssD/OccQ=,2024-06-08,416.5806451612903,157.6969696969697,,25828.0,10408.0,0.0,36236.0,669,382,892,63,47,26,63,63,26,83293,129.86256761231925,47057.0
wESOZbqL3bo=,2024-06-12,415.5769230769231,734.0,808.421052631579,21610.0,95420.0,30720.0,147750.0,1225,1568,2223,128,114,36,136,136,38,415580,181.27241962774957,267830.0
lDbMeLnDkOk=,2024-06-06,591.5254237288135,657.7291666666666,573.6486486486486,34900.0,31571.0,42450.0,108921.0,1080,1572,1661,64,51,55,85,85,73,240647,120.93719301144867,131726.0
AngXc8cI8t8=,2024-06-09,435.1011235955056,1065.7534246575342,693.0,38724.0,155600.0,2772.0,197096.0,1042,1908,2160,109,112,8,153,153,11,344554,74.81531842350935,147458.0
WffwAF7bXmk=,2024-06-23,557.7826086956521,941.1363636363636,960.1652892561984,25658.0,41410.0,116180.0,183248.0,872,1519,2473,63,42,49,98,98,76,239911,30.921483454116828,56663.0
2buXr9e9K8Q=,2024-06-08,230.6027397260274,524.9268292682926,631.5492957746479,16834.0,43044.0,44840.0,104718.0,611,1460,1623,92,93,36,123,123,47,250420,139.13749307664395,145702.0
F5RkBLbr2fc=,2024-06-04,458.9904761904762,447.4186046511628,479.09090909090907,48194.0,38478.0,31620.0,118292.0,1201,1837,2102,104,69,75,99,99,75,403302,240.93767964021237,285010.0
/4FL1AvlKaI=,2024-06-17,743.6576576576576,826.5172413793103,870.5254237288135,82546.0,71907.0,51361.0,205814.0,1725,1586,2105,106,111,12,153,153,17,384156,86.65202561536144,178342.0
v7kRwRE1Szk=,2024-06-04,686.8782051282051,404.28648648648647,618.0,107153.0,74793.0,1236.0,183182.0,1603,1088,1827,158,171,54,158,158,40,498258,172.00161587928946,315076.0
riIkj8w23AE=,2024-06-30,855.2380952380952,572.7051282051282,853.0612244897959,71840.0,44671.0,41800.0,158311.0,1638,1132,2021,86,93,40,106,106,46,326984,106.54534429066838,168673.0
s41THQLO3F0=,2024-06-01,478.3739837398374,299.1007194244604,544.1176470588235,58840.0,41575.0,9250.0,109665.0,1340,1102,1711,106,106,45,111,111,47,335847,206.24811927232938,226182.0
uNWYEmhLIzs=,2024-06-22,566.9433962264151,832.9111111111112,713.4379562043796,30048.0,37481.0,97741.0,165270.0,894,1080,1300,86,90,100,99,99,111,304084,83.99225509771888,138814.0
i/F5QE/s9Lo=,2024-06-07,741.8666666666667,582.258064516129,1581.428571428571,111280.0,90250.0,33210.0,234740.0,2138,1031,2721,151,167,10,170,170,10,522225,122.46954076850984,287485.0
xb0zI9xi/pU=,2024-06-24,846.5044247787611,326.01307189542484,,95655.0,49880.0,0.0,145535.0,1561,611,1769,89,111,32,132,132,38,263358,80.95853231181502,117823.0
6wNve+ovD3Q=,2024-06-06,977.8740157480316,586.2231404958678,765.2340425531914,124190.0,70933.0,35966.0,231089.0,1582,1453,2466,112,86,60,117,117,63,450102,94.77430773424958,219013.0
itEcZvJKPt8=,2024-06-01,787.5416666666666,412.1666666666667,776.625,94505.0,42041.0,31065.0,167611.0,1837,1104,1871,112,122,22,149,149,27,381594,127.66644193996814,213983.0
u5+On6JkQek=,2024-06-08,385.7910447761194,469.5590551181102,515.4117647058823,51696.0,59634.0,17524.0,128854.0,874,1020,1479,139,136,27,142,142,28,300139,132.92951712791222,171285.0
OfE6xJ28ApI=,2024-06-16,467.4125874125874,140.33333333333334,603.7894736842105,66840.0,21050.0,11472.0,99362.0,1314,938,1752,123,134,34,144,144,36,346882,249.109317445301,247520.0
SPn3Qu6ChAU=,2024-06-02,727.2857142857143,642.5396825396825,336.8235294117647,45819.0,40480.0,28630.0,114929.0,1079,965,1229,61,65,46,89,89,63,185078,61.03681403301169,70149.0
L3AEY35RJDQ=,2024-06-27,910.1267605633802,878.3806451612903,845.3333333333334,129238.0,136149.0,5072.0,270459.0,1260,1440,1788,133,138,16,158,158,18,394908,46.013998424899896,124449.0
Uxa3Cihsjp4=,2024-06-17,466.94117647058823,471.8627450980392,750.0,39690.0,48130.0,36750.0,124570.0,1243,1229,1469,111,113,15,154,154,20,298885,139.93337079553666,174315.0
dSCwRcobh98=,2024-06-13,434.59183673469386,258.75,482.53731343283584,42590.0,8280.0,32330.0,83200.0,1381,384,1647,60,55,72,82,82,98,222564,167.50480769230768,139364.0
mhRPCz2OaoI=,2024-06-20,809.1234567901234,587.8080808080808,735.5686274509804,65539.0,58193.0,37514.0,161246.0,1649,1197,1947,79,115,28,127,127,31,322442,99.9689914788584,161196.0
nBotzbJXqJ4=,2024-06-27,611.344262295082,1446.2301587301588,1794.7222222222222,74584.0,182225.0,64610.0,321419.0,1260,2437,3289,109,94,5,157,157,7,382863,19.11648035741509,61444.0
30HTtm/gLQk=,2024-06-17,683.1958762886597,664.8383838383838,567.9130434782609,66270.0,65819.0,26124.0,158213.0,1360,1433,1817,89,118,11,152,152,14,310121,96.01486603502872,151908.0
Z6So3vHfiQM=,2024-06-07,1475.5684210526315,360.3809523809524,887.2105263157895,140179.0,30272.0,50571.0,221022.0,1362,434,1630,102,97,27,125,125,33,225032,1.814299029055931,4010.0
cZurR6fBQYM=,2024-06-18,787.4137931034483,547.8947368421053,577.9807692307693,45670.0,31230.0,60110.0,137010.0,1198,897,1359,57,60,75,80,80,100,224031,63.51434201883074,87021.0
PoAm+tuMgew=,2024-06-16,895.6198347107438,357.719298245614,594.0,108370.0,40780.0,17820.0,166970.0,1845,1044,2061,91,71,14,142,142,22,270873,62.22854404982932,103903.0
2FmqA/O+yPA=,2024-06-29,816.5806451612904,495.2380952380952,659.1379310344828,50628.0,20800.0,76460.0,147888.0,1368,713,1535,44,64,82,79,79,101,231694,56.6685599913448,83806.0
s05h4FZwUFg=,2024-06-12,285.7,338.832,303.6774193548387,25713.0,42354.0,9414.0,77481.0,579,611,1010,82,93,74,98,98,78,179041,131.0772963694325,101560.0
j4r1ZjS5P+s=,2024-06-18,572.5886524822695,809.0483870967741,1109.0,80735.0,100322.0,8872.0,189929.0,923,1603,1706,126,124,0,158,158,0,315070,65.88830562999858,125141.0
Qa6/23MDcKk=,2024-06-12,758.3653846153846,523.9560439560439,941.9607843137256,78870.0,47680.0,48040.0,174590.0,1795,1820,2177,116,107,23,132,132,26,453031,159.48278824674952,278441.0
8sBI+zUA0MU=,2024-06-16,533.1527777777778,808.0833333333334,802.3012048192771,38387.0,58182.0,66591.0,163160.0,927,961,1584,104,97,76,97,97,61,279760,71.46359401814169,116600.0
o602/DimIco=,2024-06-29,1619.1625,773.1904761904761,1464.0833333333333,129533.0,81185.0,52707.0,263425.0,2220,1239,2333,102,96,29,129,129,37,413041,56.796431621903764,149616.0
Iu+bhJObMx0=,2024-06-16,391.09090909090907,140.05,499.21875,51624.0,2801.0,15975.0,70400.0,1145,331,1390,129,45,30,149,149,35,204300,190.19886363636365,133900.0
77ohOJuCSZ8=,2024-06-15,490.5301204819277,302.1875,658.4193548387096,40714.0,9670.0,40822.0,91206.0,1426,771,1662,73,51,53,92,92,66,231505,153.82650264237,140299.0
wnuG6NP8ASE=,2024-06-05,358.57142857142856,454.55555555555554,321.42857142857144,7530.0,20455.0,13500.0,41485.0,610,1078,1466,34,34,42,42,42,53,118964,186.76389056285404,77479.0
uieYwV6cD6w=,2024-06-16,494.7761194029851,667.945205479452,868.0625,33150.0,48760.0,55556.0,137466.0,2015,1616,2216,74,80,45,105,105,59,378110,175.05710502960733,240644.0
6ieO8iwHn7c=,2024-06-23,301.3333333333333,485.24590163934425,305.8536585365854,18080.0,29600.0,25080.0,72760.0,703,1725,2199,71,67,35,110,110,54,242453,233.22292468389224,169693.0
WPYlfvEdQsw=,2024-06-20,430.79245283018867,664.6949152542373,1142.178571428571,45664.0,78434.0,63962.0,188060.0,1115,1513,2207,111,122,32,141,141,37,378975,101.51813251090078,190915.0
Ysk7bTesZRo=,2024-06-27,440.5348837209302,972.7142857142856,1111.9555555555555,37886.0,108944.0,50038.0,196868.0,1002,1715,2254,99,102,31,121,121,37,344002,74.73738748806306,147134.0
REW+lQV1oPA=,2024-06-22,524.9019607843137,510.2,575.75,26770.0,25510.0,69090.0,121370.0,907,797,1324,89,73,75,98,98,82,238204,96.26266787509269,116834.0
gmINc9ksSw8=,2024-06-21,592.96875,455.1333333333333,512.7777777777778,75900.0,40962.0,27690.0,144552.0,1007,696,1542,129,88,46,137,137,49,262083,81.30707288726549,117531.0
wL5HidECU9I=,2024-06-28,777.5,447.94117647058823,544.1538461538462,48205.0,22845.0,63666.0,134716.0,1166,692,1465,79,64,94,82,82,98,274112,103.47397488048932,139396.0
nOuTYwL71I0=,2024-06-02,490.65384615384613,329.2283464566929,389.1707317073171,63785.0,41812.0,15956.0,121553.0,1098,950,1417,132,133,45,137,137,47,335051,175.6419010637335,213498.0
l/Lbc8vlcnE=,2024-06-26,245.0909090909091,558.75,973.015873015873,21568.0,42465.0,61300.0,125333.0,1039,1822,1993,96,90,21,130,130,28,305577,143.81208460660798,180244.0
gxUetf94Iz4=,2024-06-10,502.7830188679245,1018.84375,996.1333333333332,53295.0,97809.0,44826.0,195930.0,1021,1541,1983,73,87,16,144,144,26,240328,22.66013372122697,44398.0
fDSHT3FcAb8=,2024-06-29,814.5348837209302,456.72727272727275,953.890243902439,70050.0,40192.0,78219.0,188461.0,1695,1020,2287,66,73,58,100,100,80,318976,69.2530550087286,130515.0
UwhjysXBggs=,2024-06-09,532.972972972973,493.30357142857144,725.3888888888889,59160.0,55250.0,26114.0,140524.0,1783,1549,2058,146,135,2,156,156,2,473549,236.98798781702772,333025.0
xtRJBdk4C8M=,2024-06-28,1049.6237623762377,1734.9647887323945,1635.5757575757575,106012.0,246365.0,53974.0,406351.0,1367,1929,2144,120,121,25,148,148,30,451049,10.999849883475123,44698.0
bptpoA/d/EY=,2024-06-26,175.0,507.34375,300.0,4200.0,16235.0,4500.0,24935.0,245,735,1092,32,37,40,43,43,46,78715,215.68077000200523,53780.0
asgnU7bxK/Y=,2024-06-07,657.5,576.4197530864197,860.0,81530.0,46690.0,28380.0,156600.0,1182,1232,1777,67,65,47,93,93,65,242793,55.04022988505747,86193.0
VRwfAYaMI0E=,2024-06-16,648.7861271676301,983.8,1909.6774193548388,112240.0,147570.0,59200.0,319010.0,1721,1602,2581,144,164,5,220,220,7,523457,64.08795962509012,204447.0
cM0neiglvBo=,2024-06-11,453.1571428571429,375.6258503401361,1031.5384615384614,63442.0,55217.0,13410.0,132069.0,896,1235,1322,134,130,0,167,167,0,280614,112.47529700383889,148545.0
h0TdcX+BDVk=,2024-06-28,1057.9855072463768,895.6714285714286,1525.9120879120878,73001.0,62697.0,138858.0,274556.0,1680,1298,2796,100,86,18,139,139,25,329956,20.178032896749663,55400.0
69P2CsXtn7w=,2024-06-17,697.1979166666666,717.3875,844.9642857142857,66931.0,57391.0,47318.0,171640.0,1001,1245,1728,96,79,39,112,112,46,261843,52.55360055931019,90203.0
EEc1cL83Iw4=,2024-06-17,308.8181818181818,718.725,644.7945205479452,6794.0,57498.0,47070.0,111362.0,917,1573,2191,45,66,71,84,84,90,300644,169.97000772256246,189282.0
CHBtY5fH3xY=,2024-06-18,363.76146788990826,882.4409448818898,984.3125,39650.0,112070.0,31498.0,183218.0,907,1444,1662,74,97,30,122,122,38,257046,40.295167505376114,73828.0
mMB3KX9t03U=,2024-06-09,536.3302752293578,564.4247787610619,918.8888888888888,58460.0,63780.0,49620.0,171860.0,949,644,1055,123,103,30,145,145,35,214709,24.932503200279296,42849.0
Sfxk/Z1HoS0=,2024-06-06,399.4117647058824,1009.6527777777778,1016.8080808080808,20370.0,72695.0,100664.0,193729.0,1842,1760,2437,75,89,46,116,116,60,406892,110.03153890228101,213163.0
dFZqLQilo9I=,2024-06-06,712.9638554216867,398.16438356164383,709.2394366197183,59176.0,29066.0,50356.0,138598.0,1548,967,1595,73,59,26,128,128,46,211527,52.61908541248791,72929.0
4igCy+8DmE0=,2024-06-19,577.4193548387096,491.9596774193548,977.0,71600.0,61003.0,19540.0,152143.0,1281,960,1387,106,101,35,119,119,39,281291,84.88592968457307,129148.0
