flt_no,flt_date,original_ab_price,original_bc_price,original_ac_price,original_ab_revenue,original_bc_revenue,original_ac_revenue,original_total_revenue,optimal_ab_price,optimal_bc_price,optimal_ac_price,predicted_ab_pax,predicted_bc_pax,predicted_ac_pax,allocated_ab_seats,allocated_bc_seats,allocated_ac_seats,expected_revenue,revenue_improvement,revenue_improvement_amount
4ZzUixjOkas=,2024-06-10,1181.08547008547,753.4942528735633,1610.0,138187.0,65554.0,3220.0,206961.0,2331,1170,3688,94,85,10,116,116,12,355444,71.74443494184895,148483.0
T1S3Wvaoo74=,2024-06-30,534.3137254901961,1137.7952755905512,1334.5,54500.0,144500.0,26690.0,225690.0,1108,2101,2163,113,105,3,175,175,5,352298,56.09818777969782,126608.0
Lvc2e+2nFB0=,2024-06-23,577.7173913043479,767.4166666666666,472.58474576271186,26575.0,46045.0,55765.0,128385.0,1100,1232,1481,71,63,76,87,87,93,268272,108.9589905362776,139887.0
GLfHLRegmrc=,2024-06-18,292.29411764705884,350.7258064516129,,14907.0,21745.0,0.0,36652.0,408,304,421,51,54,14,71,71,19,43118,17.641602095383607,6466.0
Tdc9g6ophFU=,2024-06-13,1119.9204545454545,532.5769230769231,1532.9876543209878,98553.0,41541.0,124172.0,264266.0,2476,1035,3449,81,104,58,114,114,64,508238,92.32061634867898,243972.0
Qb8G/8LIsac=,2024-06-18,167.0,1160.877192982456,657.8947368421053,501.0,66170.0,25000.0,91671.0,640,1974,2308,34,83,14,136,136,23,217914,137.71312628857544,126243.0
b6d29pf57wI=,2024-06-22,400.6928571428571,669.1686746987951,847.1428571428571,56097.0,55541.0,5930.0,117568.0,1233,1396,2487,85,90,20,129,129,29,280185,138.31739929232444,162617.0
yMzVnsdMBnc=,2024-06-30,425.99333333333334,490.2682926829268,633.7142857142857,63899.0,40202.0,17744.0,121845.0,983,1389,1983,125,140,41,146,146,43,398638,227.16812343551234,276793.0
hf7vk0e3c+w=,2024-06-12,293.0,394.7264150943397,423.38709677419354,8497.0,41841.0,26250.0,76588.0,497,788,1330,56,103,43,120,120,50,166186,116.98699535175223,89598.0
REDwHoHNRUM=,2024-06-13,311.19310344827585,263.7090909090909,697.625,45123.0,43512.0,11162.0,99797.0,992,855,1026,128,163,22,162,162,22,288058,188.64394721284208,188261.0
IFfJH38AcPI=,2024-06-21,326.3478260869565,911.9183673469388,732.9803921568628,22518.0,44684.0,74764.0,141966.0,690,2010,2639,72,74,60,99,99,81,356760,151.2996069481425,214794.0
M6h0CRxx1U4=,2024-06-17,644.5544554455446,447.9047619047619,685.8823529411765,65100.0,37624.0,34980.0,137704.0,1472,810,1514,118,115,23,132,132,26,301668,119.0698890373555,163964.0
fHXC8L6Bwew=,2024-06-28,969.8474576271186,612.9636363636364,1277.6666666666667,114442.0,67426.0,42163.0,224031.0,1878,969,1989,109,127,24,145,145,27,375501,67.61117881007539,151470.0
8bv1Fbq9DEU=,2024-06-28,594.4444444444445,315.7692307692308,596.7857142857143,10700.0,4105.0,33420.0,48225.0,935,522,1219,24,21,18,51,51,38,55344,14.762052877138412,7119.0
gXkvr7EBZNk=,2024-06-03,1160.2151898734178,581.0,1361.25,91657.0,69720.0,5445.0,166822.0,2365,899,2798,72,90,18,107,107,21,301554,80.76392801908621,134732.0
Lbn9JElvWH4=,2024-06-02,722.1041666666666,360.7916666666667,599.7549019607843,34661.0,8659.0,61175.0,104495.0,1609,811,2225,41,37,62,69,69,105,233926,123.86334274367195,129431.0
mt0K+XtH5EA=,2024-06-18,650.8913043478261,622.5344827586207,597.8974358974359,59882.0,72214.0,23318.0,155414.0,1047,1481,1709,137,127,8,176,176,10,345198,122.11512476353481,189784.0
m4qcZWEVbws=,2024-06-08,310.8478260869565,128.32558139534885,433.75,14299.0,5518.0,6940.0,26757.0,655,263,762,42,43,22,60,60,30,55583,107.73255596666293,28826.0
qrk5F/8EGrY=,2024-06-11,378.6551724137931,478.4347826086956,662.7647058823529,43924.0,44016.0,22534.0,110474.0,962,847,1583,112,93,27,132,132,32,229256,107.52032152361642,118782.0
BmuSFfpFMss=,2024-06-01,711.175,389.5192307692308,412.1428571428572,56894.0,20255.0,40390.0,117539.0,1230,766,1447,84,63,66,101,101,79,247080,110.21107887594756,129541.0
GFhuRVhUJ70=,2024-06-20,640.4545454545455,1165.8805970149251,1851.5,84540.0,156228.0,74060.0,314828.0,1370,1667,2006,107,88,40,131,131,49,373526,18.64446618471038,58698.0
