航班日期,A,B,C,航段,航班号,距离天数,人数
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,AlGb30xUGAU=-xIqe+QQIQXQ=,A4tgQv5cqkc=,22,33
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,zwVGiYamVc0=-AlGb30xUGAU=,A4tgQv5cqkc=,22,32
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-t+kFcRdzL6o=,A4tgQv5cqkc=,22,5
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-/M8gHzjxpNU=,A4tgQv5cqkc=,22,5
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,t+kFcRdzL6o=-/M8gHzjxpNU=,A4tgQv5cqkc=,22,4
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,AlGb30xUGAU=-xIqe+QQIQXQ=,A4tgQv5cqkc=,21,33
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,zwVGiYamVc0=-AlGb30xUGAU=,A4tgQv5cqkc=,21,32
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-t+kFcRdzL6o=,A4tgQv5cqkc=,21,7
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-/M8gHzjxpNU=,A4tgQv5cqkc=,21,7
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,t+kFcRdzL6o=-/M8gHzjxpNU=,A4tgQv5cqkc=,21,6
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,AlGb30xUGAU=-xIqe+QQIQXQ=,A4tgQv5cqkc=,20,33
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,zwVGiYamVc0=-AlGb30xUGAU=,A4tgQv5cqkc=,20,32
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-t+kFcRdzL6o=,A4tgQv5cqkc=,20,14
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-/M8gHzjxpNU=,A4tgQv5cqkc=,20,14
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,t+kFcRdzL6o=-/M8gHzjxpNU=,A4tgQv5cqkc=,20,13
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,AlGb30xUGAU=-xIqe+QQIQXQ=,A4tgQv5cqkc=,19,33
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,zwVGiYamVc0=-AlGb30xUGAU=,A4tgQv5cqkc=,19,32
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-t+kFcRdzL6o=,A4tgQv5cqkc=,19,16
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-/M8gHzjxpNU=,A4tgQv5cqkc=,19,16
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,t+kFcRdzL6o=-/M8gHzjxpNU=,A4tgQv5cqkc=,19,15
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,AlGb30xUGAU=-xIqe+QQIQXQ=,A4tgQv5cqkc=,18,32
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,zwVGiYamVc0=-AlGb30xUGAU=,A4tgQv5cqkc=,18,31
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-t+kFcRdzL6o=,A4tgQv5cqkc=,18,23
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-/M8gHzjxpNU=,A4tgQv5cqkc=,18,23
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,t+kFcRdzL6o=-/M8gHzjxpNU=,A4tgQv5cqkc=,18,22
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,AlGb30xUGAU=-xIqe+QQIQXQ=,A4tgQv5cqkc=,17,40
